E	P1	E	P2	E	P3	E	P4	E	P5							
470.9	0.0262500505093664	472.75	0.0705379845831763	473	0.0257722192275764	473	0.16696055639191	472.9	-0.0222610545375617
471	0.0272940358227252	472.85	0.078568529466026	473.1	0.0260712446426732	473.1	0.168539523190629	473	-0.0292179196855946
471.1	0.040182812891534	472.95	0.0279503324804081	473.2	0.0194750346089632	473.2	0.174101900902303	473.1	-0.0419255410196443
471.2	0.0489538587171837	473.05	0.0281134845069745	473.3	0.0150998719213005	473.3	0.162466718212731	473.2	-0.0487090603462961
471.3	0.0576466492506052	473.15	0.0658699436106811	473.4	0.0127539441289441	473.4	0.157553935869482	473.3	-0.0395244003519155
471.4	0.0599602014550508	473.25	0.011329007211095	473.5	0.00545176066604638	473.5	0.158545083913478	473.4	-0.0311201390528184
471.5	0.0665670751126681	473.35	0.0406720195076563	473.6	-0.00113291752577467	473.6	0.161218021273835	473.5	-0.0181856581514029
471.6	0.0695273878877551	473.45	0.0111781116396217	473.7	0.00107283941212512	473.7	0.160864601738239	473.6	-0.0236451614004551
471.7	0.0736618420705799	473.55	-0.0552937779239426	473.8	0.00697099879242736	473.8	0.169741561220041	473.7	-0.0330475859406343
471.8	0.0720901056164304	473.65	-0.0122559898611523	473.9	0.00913248059676631	473.9	0.183170108729998	473.8	-0.0415838331783086
471.9	0.0667756788928841	473.75	0.0672552118008487	474	0.0114222965740823	474	0.197300435283551	473.9	-0.0557150205639053
472	0.0595290720828218	473.85	0.028877267003024	474.1	0.0112007203257203	474.1	0.213384330211845	474	-0.068784453125565
472.1	0.0557403879261591	473.95	-0.00538058378586497	474.2	0.0043681748056748	474.2	0.22153073236043	474.1	-0.0683554393830223
472.2	0.0533156902117137	474.05	0.00717036312154585	474.3	0.00322593049378764	474.3	0.22474058527551	474.2	-0.0506255940415473
472.3	0.0559611181364868	474.15	0.0697458068966624	474.4	-0.00191515959373102	474.4	0.24035915576955	474.3	-0.0149140372859256
472.4	0.0545079209219983	474.25	-0.028944645421075	474.5	-0.00524896953468382	474.5	0.255985014378233	474.4	-1.56741578473384E-4
472.5	0.0420911206037044	474.35	-0.0246733349910563	474.6	0.00254106245177674	474.6	0.260436014335234	474.5	0.0121867275320627
472.6	0.0252548582355471	474.45	-0.032679334878759	474.7	0.0132983884769599	474.7	0.262171077004944	474.6	-0.00578624208697334
472.7	0.0147437405903942	474.55	0.00330163873938188	474.8	0.0247316834816835	474.8	0.275109243041484	474.7	-0.0195487315728116
472.8	0.0121987205652473	474.65	-0.00191077172352389	474.9	0.0324826133040419	474.9	0.280157711332462	474.8	-0.0279605073916461
472.9	0.00280561070703495	474.75	0.0626993077669669	475	0.0391718254396826	475	0.267147436255736	474.9	-0.0318231036681653
473	-0.00651577534780928	474.85	0.0225523586456938	475.1	0.0347651005865292	475.1	0.268536701447049	475	-0.0405578164639933
473.1	-0.00960079479771093	474.95	0.0928399201084472	475.2	0.0237018361304076	475.2	0.272034994542094	475.1	-0.0350356021485298
473.2	-0.0143699765985267	475.05	0.00852790990542958	475.3	0.0188706662992377	475.3	0.270873747362596	475.2	-0.0274112272419785
473.3	-0.0131068431746854	475.15	0.0548510054624646	475.4	0.0109169553990983	475.4	0.268211655273179	475.3	-0.0223464193287955
473.4	-0.00325694679908026	475.25	0.0440680522022315	475.5	0.0123926966962681	475.5	0.272453542378206	475.4	-0.0251871008513833
473.5	0.0052993924512001	475.35	0.0301826436403597	475.6	0.0174561987240559	475.6	0.272200707785269	475.5	-0.0185953723279546
473.6	0.0081000964119909	475.45	0.0640191226367421	475.7	0.0231834068619783	475.7	0.276142066929625	475.6	-0.024907119134335
473.7	0.00498511082803279	475.55	-0.00772653987759587	475.8	0.0288123181158895	475.8	0.276365887906172	475.7	-0.01599663740229
473.8	-0.00165007986941416	475.65	0.0260963030103715	475.9	0.0319595600131314	475.9	0.272862261320588	475.8	-0.0166374818281934
473.9	0.00378057745268869	475.75	-0.00149717411706198	476	0.0291745322102465	476	0.266396254301406	475.9	-0.0229929997978836
474	0.00948248747819147	475.85	0.00550308416687388	476.1	0.0185499641749642	476.1	0.272755823182109	476	-0.0402527686657686
474.1	0.0192194134021434	475.95	0.0726363410310502	476.2	0.0064924741710456	476.2	0.282479787423075	476.1	-0.053161328311075
474.2	0.0306463164381028	476.05	0.00965025788287385	476.3	7.05257580257578E-4	476.3	0.282269304298659	476.2	-0.0670779860024937
474.3	0.0396692136869407	476.15	0.0616196488301021	476.4	-0.0044320884499456	476.4	0.282528556506897	476.3	-0.0722159389371454
474.4	0.0355772627044559	476.25	0.00881287248634384	476.5	4.73614759329025E-5	476.5	0.27611631199915	476.4	-0.0706756980204089
474.5	0.0325823313793007	476.35	-0.0574258235808421	476.6	0.0016212436748151	476.6	0.272919385040926	476.5	-0.0626998375413269
474.6	0.0351189005399281	476.45	0.0804365158940875	476.7	0.00600590761305047	476.7	0.271971978096286	476.6	-0.0551366341810886
474.7	0.0394435416379756	476.55	-0.00926276780915865	476.8	0.0111118139689568	476.8	0.280526757484944	476.7	-0.0375900673516412
474.8	0.0427420268365954	476.65	-0.0138610881614515	476.9	0.0184664974843546	476.9	0.292662861970188	476.8	-0.0320075593322346
474.9	0.0447392615388725	476.75	-0.0131634488124554	477	0.0184500795215081	477	0.305689560862175	476.9	-0.02628315769552
475	0.0465668791068518	476.85	0.0651201180726564	477.1	0.0196103324674753	477.1	0.322921645813194	477	-0.0102199265031513
475.1	0.051542774081905	476.95	0.0226940137484058	477.2	0.0200457967422253	477.2	0.350880050214174	477.1	1.05489153438514E-4
475.2	0.052303226897141	477.05	-0.0796950324459168	477.3	0.0210513272120415	477.3	0.370387738860428	477.2	-0.00244916398107285
475.3	0.0508639459597582	477.15	0.0856073282050871	477.4	0.0205185740007169	477.4	0.382395348071687	477.3	-0.00865682113837959
475.4	0.0530838170261573	477.25	-0.116774338448211	477.5	0.0216232611768326	477.5	0.388970022013132	477.4	-0.0201128442237683
475.5	0.048929766376929	477.35	0.00112111431069472	477.6	0.0155501111751112	477.6	0.388912536124138	477.5	-0.0215350859870419
475.6	0.0478030380264511	477.45	0.0539035365648237	477.7	0.0106048767655911	477.7	0.375899142358076	477.6	-0.0221045471084288
475.7	0.0531334773072711	477.55	-0.0267110508626844	477.8	0.0105974101509816	477.8	0.369472707033437	477.7	-0.0129625535118648
475.8	0.0552351248996218	477.65	-0.0288352357041446	477.9	0.012217950521522	477.9	0.355497898488441	477.8	-0.0105306117458729
475.9	0.061309093366856	477.75	0.178482220920999	478	0.0108720192648764	478	0.34378789955068	477.9	-0.021144579997792
476	0.0644279651012562	477.85	-0.0673768138029502	478.1	0.0177214210249925	478.1	0.338985326967812	478	-0.0171416880992105
476.1	0.0583098919961018	477.95	0.0545461983331863	478.2	0.0255709111066254	478.2	0.334625587382132	478.1	-0.0220466869730835
476.2	0.0659373363654362	478.05	0.0603927199223544	478.3	0.0282087959766531	478.3	0.317808474035325	478.2	-0.0272274011107865
476.3	0.0627476064026749	478.15	0.119530276171302	478.4	0.0251739636561065	478.4	0.3024969503424	478.3	-0.0337626530147626
476.4	0.0685539912927824	478.25	0.0370234781701947	478.5	0.0156539051181908	478.5	0.318400691790617	478.4	-0.0259705307706978
476.5	0.079687361457993	478.35	0.00775410085907483	478.6	0.0071198890841748	478.6	0.323194702020162	478.5	-0.0267257322619204
476.6	0.0865418007694439	478.45	0.0421312435328751	478.7	0.00354616801045373	478.7	0.318824399690914	478.6	-0.0252295717371124
476.7	0.0866795375267745	478.55	0.0870894929774042	478.8	0.00595272916701488	478.8	0.319067079371253	478.7	-0.00229342342647734
476.8	0.0911386458867409	478.65	0.11655519816474	478.9	0.00168541434612863	478.9	0.325349797206947	478.8	0.00764248161187331
476.9	0.0866809488781546	478.75	-0.038447569163144	479	-0.0017419216704931	479	0.331772411495912	478.9	0.00460584447873187
477	0.0865150150483338	478.85	-0.0742142794118827	479.1	0.0043293836043836	479.1	0.331783245284331	479	0.0101804942417962
477.1	0.0837923758318835	478.95	0.0655776496161836	479.2	0.0103199850994494	479.2	0.321319129425958	479.1	0.0262741295879787
477.2	0.0805520562090249	479.05	0.0730447825842832	479.3	0.0126621454728598	479.3	0.310130635612993	479.2	0.0303332088396637
477.3	0.0710706726694212	479.15	0.0123053686160954	479.4	0.0133718321870108	479.4	0.295151953939523	479.3	0.0283789041792206
477.4	0.06392556425774	479.25	0.0545064129815752	479.5	0.00870134113705542	479.5	0.291483783428857	479.4	0.0342027413022229
477.5	0.0630393924536311	479.35	0.0508694222300652	479.6	0.00290406166566881	479.6	0.288568169018007	479.5	0.0328729306316658
477.6	0.0664971902733246	479.45	0.00443678861625585	479.7	0.00119089313553599	479.7	0.284161202783608	479.6	0.0359472675685496
477.7	0.0662677552936735	479.55	0.0398166344480184	479.8	-8.4635006688578E-4	479.8	0.276104841461617	479.7	0.0539892285955199
477.8	0.0628484823439224	479.65	0.0342585566580305	479.9	-0.00889282041246327	479.9	0.271600070386414	479.8	0.0465312129646646
477.9	0.0704680414111418	479.75	0.0118685960423201	480	-0.0151813438661653	480	0.280365110100345	479.9	0.0313458858946583
478	0.0788708251739046	479.85	-0.0344698361260618	480.1	-0.0094272226790084	480.1	0.283485001070532	480	0.0150480821740556
478.1	0.0764267035254363	479.95	0.0216311994160537	480.2	-4.89098703384415E-5	480.2	0.27952619376903	480.1	-0.00835759268383931
478.2	0.0810796483870595	480.05	-0.00188309844468152	480.3	0.0120528454010597	480.3	0.284757170302347	480.2	-0.0390681122409652
478.3	0.0813076609657261	480.15	-0.00948136264829268	480.4	0.0163643832393832	480.4	0.293490024942875	480.3	-0.0501981277045105
478.4	0.0865787062656163	480.25	-0.00109201325108888	480.5	0.0153962406194549	480.5	0.298263791298284	480.4	-0.0512700011604857
478.5	0.0830615369564613	480.35	-0.0121582751124979	480.6	0.0128130586166301	480.6	0.300034159445255	480.5	-0.0389046296465067
478.6	0.0784826383753173	480.45	0.0322853315579655	480.7	0.0111290058611487	480.7	0.293736755780613	480.6	-0.0403887740975457
478.7	0.0732855283959083	480.55	-0.0148896357554805	480.8	0.011378182003182	480.8	0.281598290705096	480.7	-0.0250550797269736
478.8	0.0675414068263453	480.65	0.0950370982361293	480.9	0.010165552040552	480.9	0.275398187907237	480.8	-0.023460345283712
478.9	0.0576144866280019	480.75	0.032654469034002	481	0.00387881253952682	481	0.275437182606854	480.9	-0.0193692591442603
479	0.0527098694918603	480.85	0.0352778958682591	481.1	0.00160613660613661	481.1	0.271425484386181	481	-0.0228050924210494
479.1	0.0524666501379275	480.95	0.0455009665594494	481.2	-4.85412271126556E-4	481.2	0.279968605089282	481.1	-0.0232509523604038
479.2	0.0433040591399781	481.05	0.0871259094081127	481.3	-0.00530825118325118	481.3	0.282879153693707	481.2	-0.0254317001479018
479.3	0.0296775123485881	481.15	0.0690210076281995	481.4	-0.0153229961533533	481.4	0.300211000489474	481.3	-0.0270195820787498
479.4	0.0226821165502606	481.25	0.110252588855289	481.5	-0.0209211248318391	481.5	0.31787243346448	481.4	-0.0240733513915384
479.5	0.0170749771279637	481.35	0.0551397701112546	481.6	-0.0120822103232818	481.6	0.319229904876072	481.5	-0.0199892205173304
479.6	0.00709361009766474	481.45	0.0434999879681396	481.7	0.00202454070311213	481.7	0.319126406583776	481.6	-0.00978996065361994
479.7	-0.00358714157943577	481.55	-0.00611398182386961	481.8	0.0141051936319793	481.8	0.322660345519562	481.7	0.0162751779180829
479.8	-0.0109315124719479	481.65	-0.00538445002366266	481.9	0.0247616653152367	481.9	0.330263169963481	481.8	0.0326889099087651
479.9	-0.0162659704844535	481.75	0.0454026261540559	482	0.0269715381947525	482	0.319639222822112	481.9	0.0541078285324603
480	-0.0260382620152761	481.85	0.0975584948944806	482.1	0.0249018677768678	482.1	0.309437564516428	482	0.0559284366059597
480.1	-0.0383313358311433	481.95	0.0165515083942279	482.2	0.0176511482850769	482.2	0.309862185710823	482.1	0.0576355042015696
480.2	-0.0359307384454495	482.05	0.0115569708588342	482.3	0.00929882805775663	482.3	0.308323293911253	482.2	0.037093756183212
480.3	-0.0306755910956868	482.15	-0.0565043435015922	482.4	-0.00153017586946159	482.4	0.29909929143575	482.3	0.0102498473212845
480.4	-0.0267624865815159	482.25	0.00345930423762122	482.5	-0.00589505438612582	482.5	0.277849602771884	482.4	0.00926752902304148
480.5	-0.0173742907621959	482.35	0.0241399225148192	482.6	0.00449974274974275	482.6	0.25319295592846	482.5	0.0014175809650541
480.6	-0.00205149584467693	482.45	0.0116129912006995	482.7	0.00410286257607686	482.7	0.240452146095569	482.6	-7.4682285395323E-4
480.7	0.00125788820625684	482.55	-0.00165104396441778	482.8	-0.00156726072797501	482.8	0.235327600070764	482.7	-0.00444789446777532
480.8	0.00106037095887485	482.65	0.0330641939856741	482.9	-0.00384271753021753	482.9	0.238299404326751	482.8	-0.00326855502152234
480.9	5.80565824171852E-4	482.75	0.00636880058394629	483	-0.00923501354751355	483	0.239334500462849	482.9	0.00877002866302101
481	0.00101435053208014	482.85	-0.01625985609895	483.1	-0.00859596844418273	483.1	0.237666996908589	483	0.0194497363634019
481.1	0.010551125832911	482.95	0.0252369073306115	483.2	-0.00794015921694493	483.2	0.225448700826832	483.1	0.0259513370731433
481.2	0.0120733339709885	483.05	0.0146454531599676	483.3	-0.0144289809646953	483.3	0.215189723933359	483.2	0.0263454023537581
481.3	0.022627987996933	483.15	0.0104472643560147	483.4	-0.0129767583071155	483.4	0.212361717823336	483.3	0.0322967106339702
481.4	0.0192238942130644	483.25	0.0600885544922956	483.5	-0.00440702897845755	483.5	0.204993729239641	483.4	0.0349165635889057
481.5	0.00963994618273632	483.35	0.0115638530829637	483.6	0.00369746917068346	483.6	0.193749691235924	483.5	0.0245955817327868
481.6	0.00763765897601852	483.45	-0.0117893782736687	483.7	0.00156607619107619	483.7	0.192635433809349	483.6	0.00844873611687099
481.7	0.00203700202538791	483.55	0.0660188178296128	483.8	-0.0038124319106462	483.8	0.186195139452535	483.7	-0.007874183497301
481.8	-0.0139196391077321	483.65	-0.00168462087607986	483.9	-0.00725063351849066	483.9	0.179212710758172	483.8	-0.0111762659905166
481.9	-0.0282120775126308	483.75	-0.0581358637672557	484	-0.00769045876188733	484	0.175022271147139	483.9	-0.0114735076084264
482	-0.0328076659985557	483.85	-0.0222327924343662	484.1	-0.00712478257121114	484.1	0.169357412855795	484	-0.0164648907796123
482.1	-0.0293488152546132	483.95	-0.0289053413438786	484.2	0.00213914479985909	484.2	0.168264716329964	484.1	-0.0251735168688052
482.2	-0.0182112595567752	484.05	0.018211103000746	484.3	0.00221120692549264	484.3	0.171230687780656	484.2	-0.0299146287101456
482.3	-0.0134886106121242	484.15	0.0437038878951464	484.4	0.0113026106597535	484.4	0.190294700314246	484.3	-0.034264123727218
482.4	-0.00490596014289396	484.25	0.0194691543206411	484.5	0.0216887897959327	484.5	0.203288199082837	484.4	-0.0403856889629487
482.5	0.00912805095726329	484.35	0.022240011550586	484.6	0.0256540827969399	484.6	0.212686300685377	484.5	-0.0328766612751747
482.6	0.010671790603268	484.45	0.0522399313381835	484.7	0.023691599004099	484.7	0.219408548734959	484.6	-0.0250146568768462
482.7	0.00305984526437584	484.55	0.0579558671361766	484.8	0.0168915942130228	484.8	0.220293905594073	484.7	-0.0115799091806274
482.8	0.00675720999923973	484.65	0.0499432898314737	484.9	0.0112027370509513	484.9	0.211859551394212	484.8	-0.0125147164682638
482.9	0.00751412275888816	484.75	0.0404029871098669	485	0.0084935211720926	485	0.192892668094811	484.9	-0.00975348027093738
483	0.00714610568617188	484.85	0.0487221362167018	485.1	0.00454084637120351	485.1	0.173641912922049	485	-0.0275646329945711
483.1	0.0051790214840433	484.95	0.0286526722761873	485.2	0.0125802016873445	485.2	0.167185841187848	485.1	-0.0303427629934368
483.2	0.0106929128345403	485.05	0.0504040298710987	485.3	0.0151902504313219	485.3	0.151621060528996	485.2	-0.0199340725828255
483.3	0.0189340560149017	485.15	0.0615639814228076	485.4	0.025434314380743	485.4	0.140621222580073	485.3	-0.00681134349701418
483.4	0.0176448077696919	485.25	0.0342781284842262	485.5	0.0297446899857614	485.5	0.126125562844923	485.4	0.0181788772606283
483.5	0.0219457522109052	485.35	0.0277916723483785	485.6	0.026296055153198	485.6	0.114257075037322	485.5	0.0297355431454083
483.6	0.0340561389496757	485.45	0.0293580601432594	485.7	0.0250964396500111	485.7	0.104574431469966	485.6	0.0351444647390042
483.7	0.0400676509052585	485.55	0.0196037507319382	485.8	0.021619351887209	485.8	0.106016726799005	485.7	0.0460448471234341
483.8	0.0471685583034939	485.65	0.0387279917220801	485.9	0.0209031952781953	485.9	0.102211675666025	485.8	0.0284397381703916
483.9	0.0571483902517306	485.75	0.0258389816233386	486	0.0168025909097338	486	0.106159416364011	485.9	0.0179420729381912
484	0.0687748931529068	485.85	0.011411529730727	486.1	0.0138795167366596	486.1	0.112064274147474	486	-0.0052798548851191
484.1	0.073199309434542	485.95	-0.0353555414738227	486.2	0.0120570975035261	486.2	0.120452744214916	486.1	-0.004334565229257
484.2	0.070210222071564	486.05	-0.0262090816482044	486.3	0.013166925041925	486.3	0.128503153343458	486.2	-0.0012996681530722
484.3	0.0690617726224339	486.15	-0.0190424243396514	486.4	0.0160742326813755	486.4	0.127270747312898	486.3	0.00499594033972811
484.4	0.0759452682854518	486.25	-0.0182629202127233	486.5	0.0173674365638651	486.5	0.134676415956272	486.4	0.00683520243921276
484.5	0.0772579273160138	486.35	0.0689837890734665	486.6	0.0139658109300966	486.6	0.142742921783229	486.5	0.00506770279677681
484.6	0.071127021102983	486.45	0.0387682583481058	486.7	0.0137746963639821	486.7	0.161095936367707	486.6	0.0138431316580039
484.7	0.0705204938053663	486.55	0.0361276660597262	486.8	0.0109716890074033	486.8	0.177538522461341	486.7	0.0167913867121568
484.8	0.07289147691626	486.65	-0.023958802910106	486.9	0.00752233314733315	486.9	0.182183098484855	486.8	-0.00584624087170021
