,energy (eV),x,y,z
0,0.0,2.407083,11.633225,3.232638
1,0.00045352326886333335,2.407083,11.633225,3.232638
2,0.0009070465377266667,2.351356,11.819299,3.326202
3,0.00136056980659,2.257569,11.340486,3.254422
4,0.0018140930754533334,2.206528,10.693476,3.148472
5,0.002267616344316667,2.191791,10.379049,3.121483
6,0.00272113961318,2.202567,10.295694,3.14551
7,0.0031746628820433333,2.228843,10.302456,3.199899
8,0.0036281861509066668,2.263286,10.239619,3.273163
9,0.00408170941977,2.301936,10.051875,3.359299
10,0.004535232688633334,2.343249,9.811532,3.456334
11,0.004988755957496667,2.390372,9.629142,3.571642
12,0.00544227922636,2.451929,9.518451,3.726908
13,0.005895802495223333,2.540023,9.374683,3.964936
14,0.006349325764086667,2.666382,9.202904,4.304512
15,0.00680284903295,2.848685,9.175456,4.742725
16,0.0072563723018133335,3.160756,9.326728,5.452219
17,0.007709895570676667,3.447527,9.488701,6.094483
18,0.00816341883954,3.516782,9.520818,6.21694
19,0.008616942108403334,3.527543,9.434187,6.192751
20,0.009070465377266667,3.597545,9.35201,6.304607
21,0.00952398864613,3.719545,9.420525,6.529326
22,0.009977511914993334,3.904295,9.692561,6.869222
23,0.010431035183856668,4.114926,9.973861,7.262942
24,0.01088455845272,4.313317,10.098471,7.658133
25,0.011338081721583333,4.501355,10.11397,8.044705
26,0.011791604990446666,4.656027,10.054189,8.358844
27,0.01224512825931,4.789867,10.013809,8.623096
28,0.012698651528173333,4.947812,10.142357,8.931027
29,0.013152174797036667,5.109122,10.423534,9.232625
30,0.0136056980659,5.241426,10.744977,9.453902
31,0.014059221334763334,5.354778,11.060346,9.617511
32,0.014512744603626667,5.459813,11.349643,9.755688
33,0.01496626787249,5.496447,11.574668,9.755136
34,0.015419791141353334,5.459555,11.730223,9.628307
35,0.015873314410216666,5.543337,11.921299,9.850486
36,0.01632683767908,5.764337,12.295471,10.413773
37,0.016780360947943333,5.90787,12.904829,10.718347
38,0.017233884216806668,5.999648,13.71074,10.853038
39,0.01768740748567,5.943555,14.274836,10.66465
40,0.018140930754533335,5.585842,14.133504,9.806117
41,0.018594454023396666,5.133802,13.554588,8.791275
42,0.01904797729226,4.761562,12.940715,7.996155
43,0.019501500561123333,4.555402,12.504428,7.510676
44,0.01995502382998667,4.614034,12.738304,7.544242
45,0.02040854709885,4.955092,13.889722,8.187491
46,0.020862070367713335,5.277246,14.779335,8.827967
47,0.021315593636576667,5.386825,14.868542,9.055057
48,0.02176911690544,5.351796,14.630575,8.983719
49,0.022222640174303334,5.187972,14.136241,8.637699
50,0.022676163443166666,5.059007,13.844512,8.374656
51,0.02312968671203,5.086513,14.020727,8.456433
52,0.023583209980893333,5.231874,14.382138,8.813896
53,0.024036733249756668,5.459274,14.783882,9.375147
54,0.02449025651862,5.652324,15.070293,9.849428
55,0.024943779787483335,5.757274,15.313516,10.107554
56,0.025397303056346666,5.794397,15.247627,10.286864
57,0.02585082632521,5.649104,14.575064,10.111693
58,0.026304349594073333,5.489413,13.913986,9.846069
59,0.02675787286293667,5.467137,13.537515,9.845542
60,0.0272113961318,5.472466,13.332921,9.896748
61,0.027664919400663335,5.498082,13.247786,9.983592
62,0.028118442669526667,5.510797,13.181401,10.019638
63,0.028571965938390002,5.46564,13.040776,9.902909
64,0.029025489207253334,5.41944,12.867458,9.783933
65,0.029479012476116666,5.436373,12.71136,9.827496
66,0.02993253574498,5.46501,12.501769,9.901376
67,0.030386059013843333,5.448503,12.331352,9.876738
68,0.030839582282706668,5.438443,12.43252,9.871286
69,0.03129310555157,5.47176,12.742021,9.941182
70,0.03174662882043333,5.529807,13.077916,10.042851
71,0.03220015208929667,5.610238,13.449647,10.169045
72,0.03265367535816,5.702062,13.970239,10.285365
73,0.03310719862702333,5.768637,14.505871,10.332086
74,0.033560721895886665,5.831503,14.459934,10.385809
75,0.034014245164750004,5.916928,13.847595,10.484733
76,0.034467768433613336,6.013203,13.521305,10.537306
77,0.03492129170247667,6.010492,13.487517,10.475828
78,0.03537481497134,5.741648,13.242103,10.236456
79,0.03582833824020334,5.51053,13.012809,10.063975
80,0.03628186150906667,5.496325,12.941914,10.089762
81,0.03673538477793,5.4975,12.83396,10.136023
82,0.03718890804679333,5.513725,12.739573,10.208012
83,0.037642431315656665,5.548002,12.717784,10.318696
84,0.03809595458452,5.591003,12.814167,10.479988
85,0.038549477853383335,5.591032,12.831583,10.539429
86,0.03900300112224667,5.520178,12.641332,10.397634
87,0.03945652439111,5.464012,12.522623,10.290491
88,0.03991004765997334,5.453511,12.554705,10.306064
89,0.04036357092883667,5.461073,12.647126,10.371489
90,0.0408170941977,5.473459,12.755624,10.44477
91,0.04127061746656333,5.480602,12.85438,10.494478
92,0.04172414073542667,5.46899,12.922119,10.490834
93,0.04217766400429,5.43159,12.936017,10.421479
94,0.042631187273153334,5.373202,12.905132,10.297977
95,0.043084710542016666,5.306269,12.861777,10.147917
96,0.04353823381088,5.249125,12.841892,10.007588
97,0.043991757079743336,5.196648,12.838256,9.869209
98,0.04444528034860667,5.129,12.831773,9.69715
99,0.04489880361747,5.051585,12.83342,9.502388
100,0.04535232688633333,4.979045,12.843552,9.318732
101,0.04580585015519667,4.901312,12.819099,9.138427
102,0.04625937342406,4.798511,12.701996,8.934186
103,0.046712896692923334,4.701415,12.575626,8.751197
104,0.047166419961786665,4.649088,12.556137,8.643546
105,0.047619943230650004,4.624436,12.615306,8.58057
106,0.048073466499513336,4.605047,12.704503,8.52493
107,0.04852698976837667,4.586444,12.791918,8.470419
108,0.04898051303724,4.565909,12.844966,8.415141
109,0.04943403630610334,4.542538,12.865406,8.356973
110,0.04988755957496667,4.515259,12.860155,8.293003
111,0.05034108284383,4.485221,12.832862,8.225443
112,0.05079460611269333,4.456523,12.78814,8.16199
113,0.051248129381556665,4.431193,12.725555,8.106704
114,0.05170165265042,4.405393,12.632504,8.051767
115,0.052155175919283335,4.37461,12.489688,7.987896
116,0.05260869918814667,4.33828,12.285296,7.915509
117,0.05306222245701,4.300177,12.04761,7.842323
118,0.05351574572587334,4.26424,11.814959,7.775032
119,0.05396926899473667,4.232114,11.599814,7.71623
120,0.0544227922636,4.205164,11.411116,7.66795
121,0.05487631553246333,4.183842,11.253104,7.631251
122,0.05532983880132667,4.167729,11.125114,7.605985
