,energy (eV),x,y,z
0,0.0,0.045964,0.034568,0.027094
1,0.00045352326886333335,0.045964,0.034568,0.027094
2,0.0009070465377266667,0.045843,0.034446,0.027167
3,0.00136056980659,0.045732,0.034356,0.027247
4,0.0018140930754533334,0.045624,0.034282,0.027319
5,0.002267616344316667,0.045513,0.03423,0.027373
6,0.00272113961318,0.045426,0.034208,0.027437
7,0.0031746628820433333,0.045418,0.034218,0.027569
8,0.0036281861509066668,0.045478,0.034249,0.02776
9,0.00408170941977,0.045578,0.034299,0.027984
10,0.004535232688633334,0.045812,0.034454,0.028258
11,0.004988755957496667,0.046758,0.035199,0.028723
12,0.00544227922636,0.051169,0.037346,0.02989
13,0.005895802495223333,0.05282,0.037919,0.030496
14,0.006349325764086667,0.049358,0.036356,0.03012
15,0.00680284903295,0.047912,0.035815,0.030178
16,0.0072563723018133335,0.048142,0.03603,0.030579
17,0.007709895570676667,0.048558,0.036319,0.031016
18,0.00816341883954,0.048984,0.036601,0.031452
19,0.008616942108403334,0.049418,0.036877,0.031887
20,0.009070465377266667,0.049853,0.037145,0.032322
21,0.00952398864613,0.050276,0.0374,0.03276
22,0.009977511914993334,0.050698,0.037645,0.033208
23,0.010431035183856668,0.051128,0.037885,0.033673
24,0.01088455845272,0.05156,0.038127,0.034153
25,0.011338081721583333,0.052063,0.038523,0.034714
26,0.011791604990446666,0.053049,0.03996,0.035816
27,0.01224512825931,0.054977,0.043403,0.037999
28,0.012698651528173333,0.057926,0.047802,0.041233
29,0.013152174797036667,0.059152,0.048609,0.042673
30,0.0136056980659,0.057056,0.044983,0.040799
31,0.014059221334763334,0.05502,0.04193,0.038933
32,0.014512744603626667,0.054669,0.041167,0.038654
33,0.01496626787249,0.054821,0.041124,0.038864
34,0.015419791141353334,0.054924,0.041065,0.039034
35,0.015873314410216666,0.05498,0.040971,0.039156
36,0.01632683767908,0.055002,0.040857,0.039258
37,0.016780360947943333,0.054977,0.040726,0.039343
38,0.017233884216806668,0.054872,0.040522,0.039374
39,0.01768740748567,0.054642,0.040164,0.039303
40,0.018140930754533335,0.054273,0.039628,0.039118
41,0.018594454023396666,0.053771,0.038925,0.038827
42,0.01904797729226,0.053266,0.038234,0.038542
43,0.019501500561123333,0.05292,0.037797,0.03841
44,0.01995502382998667,0.052682,0.037529,0.038382
45,0.02040854709885,0.05246,0.037287,0.038376
